76;Bosnia and Herzegovina;27,975;None;871;None;21,108;None;5,996;None;8,541;266;245,211;74,862;3,275,489
77;Australia;27,121;+8;893;+3;24,850;+26;1,378;6;1,060;35;7,743,200;302,765;25,574,926
78;S. Korea;24,027;+75;420;+4;21,787;+54;1,820;104;469;8;2,339,859;45,629;51,280,581
79;Bulgaria;21,336;None;838;None;14,939;None;5,559;50;3,077;121;538,955;77,718;6,934,755
80;Cameroon;20,924;None;420;None;19,764;None;740;30;783;16;149,000;5,579;26,709,411
81;Ivory Coast;19,793;None;120;None;19,357;None;316;None;746;5;164,839;6,211;26,539,985
82;Tunisia;19,721;None;271;None;5,032;None;14,418;41;1,664;23;238,671;20,141;11,850,048
83;Greece;19,613;+267;405;+7;9,989;None;9,219;79;1,884;39;1,339,664;128,693;10,409,783
84;North Macedonia;18,602;+239;753;+4;15,264;+100;2,585;3;8,929;361;193,652;92,952;2,083,352
85;Croatia;17,401;+241;293;+2;15,661;+238;1,447;23;4,246;71;321,551;78,453;4,098,655
86;Madagascar;16,529;+36;232;None;15,480;+13;817;14;593;8;72,228;2,592;27,866,936
87;Myanmar;16,503;+978;371;+18;4,795;+417;11,337;None;303;7;316,483;5,807;54,503,102
88;Senegal;15,068;+17;312;None;12,751;+57;2,005;9;894;19;181,055;10,743;16,852,830
89;Zambia;14,830;None;333;None;13,980;None;517;None;801;18;158,496;8,562;18,510,621
90;Jordan;14,749;+1,099;88;+9;5,101;+172;9,560;48;1,442;9;1,271,021;124,258;10,228,900
91;Norway;14,328;+44;275;None;11,190;None;2,863;3;2,638;51;1,075,807;198,048;5,432,064
92;Albania;14,117;+152;392;+3;8,536;+194;5,189;23;4,907;136;86,747;30,152;2,876,983
93;Sudan;13,653;None;836;None;6,764;None;6,053;None;310;19;None;None;44,103,404
94;Slovakia;12,321;+704;54;None;4,793;+37;7,474;37;2,256;10;484,337;88,701;5,460,325
95;Malaysia;12,088;+317;137;+1;10,216;+121;1,735;33;372;4;1,581,208;48,696;32,470,953
96;Montenegro;11,934;+244;174;+2;7,803;+185;3,957;17;19,001;277;70,925;112,922;628,087
97;Namibia;11,480;None;123;None;9,351;None;2,006;9;4,498;48;100,721;39,461;2,552,440
